ticket_id,customer_id,order_id,category,priority,channel,created_at,resolved_at,resolution_type,gen_behavior
881d0178-42d8-4b1e-bdc9-b7dae043d997,060e732b5b29e8181a18229c7b0b2b5e,2f17066e-45b8-49ce-bda6-cd2033e8fd93,REFUND,medium,app,2026-06-27T00:00:00,2026-06-29T22:00:00,refund_issued,new
e98f6e9d-63b9-4553-81c8-818c7df26f42,259dac757896d24d7702b9acbbff3f3c,281335d1-c567-4bc1-874d-c3d9ac9daac7,ACCOUNT,medium,app,2026-07-01T00:00:00,2026-07-03T06:00:00,auto_resolved,new
b8fad79c-61d2-4404-ba26-cf3dbc0aa283,259dac757896d24d7702b9acbbff3f3c,bf1eb94a-944b-43e7-bdfc-35a6a1e86078,PAYMENT_ISSUE,high,chat,2026-07-14T00:00:00,2026-07-14T09:00:00,refund_issued,new
f9e55565-8180-4767-9a9b-7a7756ff4a99,4c93744516667ad3b8f1fb645a3116a4,cb9a84f9-1d13-4d26-bd84-158d9cf3ffa2,REFUND,high,app,2026-07-01T00:00:00,2026-07-01T03:00:00,info_provided,fraud
ea994fa7-1561-4517-8255-cd37416ca11c,4c93744516667ad3b8f1fb645a3116a4,8b67fbba-efa6-4aa0-8888-92fd469c357a,DAMAGED_ITEM,high,email,2026-07-15T00:00:00,2026-07-16T14:00:00,auto_resolved,fraud
8e2f7bbe-945f-46f8-b318-cb0f32101dd1,4c93744516667ad3b8f1fb645a3116a4,108a1095-8ff9-45e5-aad3-7f602faaf84c,REFUND,low,chat,2026-07-10T00:00:00,2026-07-12T18:00:00,info_provided,fraud
74083de7-a48c-44fb-ae62-28aa6a57dd57,4c93744516667ad3b8f1fb645a3116a4,11b8aefd-4451-410f-863e-70cb6e66c54e,REFUND,low,app,2026-07-04T00:00:00,2026-07-05T08:00:00,refund_issued,fraud
5af64055-2534-4a79-a2ca-48983f6fab8f,4c93744516667ad3b8f1fb645a3116a4,75579314-f65c-48b1-a8fd-787c9018f042,CANCELLATION,medium,app,2026-06-22T00:00:00,2026-06-24T13:00:00,refund_issued,fraud
df5565bc-f48b-475c-93ee-6913487ec617,4c93744516667ad3b8f1fb645a3116a4,e308a5c4-050e-4ccc-8c10-8f0efacdbc11,CANCELLATION,medium,chat,2026-07-13T00:00:00,2026-07-15T20:00:00,escalated_to_human,fraud
95e194eb-2226-480c-81f5-75fb162403bd,4c93744516667ad3b8f1fb645a3116a4,b054556e-01ab-402a-a02c-70584ad0f509,CANCELLATION,medium,email,2026-06-06T00:00:00,2026-06-08T01:00:00,info_provided,fraud
e476cb89-334d-46ec-9d18-2e4ed55e6894,4c93744516667ad3b8f1fb645a3116a4,a6c1fe90-f695-4028-8137-8b4ebb10f6b7,ACCOUNT,low,app,2026-07-23T00:00:00,2026-07-25T13:00:00,escalated_to_human,fraud
41d7ba79-cb0e-44e9-a831-437931a1804d,4c93744516667ad3b8f1fb645a3116a4,3ef5a23e-ee33-455a-b762-fc7289cd09e1,SHIPPING_DELAY,high,email,2026-07-15T00:00:00,2026-07-17T17:00:00,auto_resolved,fraud
d2f2a74c-2595-4d35-94b5-89ec8b4ae510,4c93744516667ad3b8f1fb645a3116a4,da8ae6b0-aa74-4a30-82e6-e934b362cee9,DAMAGED_ITEM,high,app,2026-07-04T00:00:00,2026-07-05T18:00:00,info_provided,fraud
d606877d-45e9-4907-aa5a-2b786b34596c,addec96d2e059c80c30fe6871d30d177,d46ea807-8c0f-4054-a00d-3e8fec49b641,ACCOUNT,low,app,2026-07-14T00:00:00,2026-07-15T13:00:00,refund_issued,existing
37b78b77-3462-45f8-b0e0-8e5df2f79b1a,918dc87cd72cd9f6ed4bd442ed785235,666c87a2-4bc7-48df-acaf-239b4db0480c,DAMAGED_ITEM,low,chat,2026-07-16T00:00:00,2026-07-18T17:00:00,refund_issued,new
936a977d-4be9-4f1f-834b-0639fc42bd18,918dc87cd72cd9f6ed4bd442ed785235,b40cf3ea-de5d-4ffe-a1c2-8349a955ae49,ACCOUNT,low,chat,2026-07-20T00:00:00,2026-07-21T06:00:00,escalated_to_human,new
8cba06de-593d-430f-9134-a674799d1607,295c05e81917928d76245e842748184d,ef8ed45e-0a7c-4b6f-ac80-42c5a1e2ec63,PAYMENT_ISSUE,low,email,2026-07-07T00:00:00,2026-07-08T08:00:00,info_provided,new
61a92e45-6ef2-4040-8d97-6d42ac9d1883,b6e99561fe6f34a55b0b7da92f8ed775,37861cd7-2e17-4289-a52e-06025dee9d17,ORDER_STATUS,medium,chat,2026-07-14T00:00:00,2026-07-16T16:00:00,refund_issued,fraud
32f12ab6-728f-4a9e-92f5-7f2fc6104906,b6e99561fe6f34a55b0b7da92f8ed775,9d9078e5-24d0-46a1-9898-a66770736edd,ACCOUNT,high,email,2026-07-24T00:00:00,2026-07-25T19:00:00,info_provided,fraud
fc29c9aa-0531-4b7a-ad85-1a1ecd0a21ab,b6e99561fe6f34a55b0b7da92f8ed775,8825e7d7-4f6c-4535-bff5-b32f2faafa36,DAMAGED_ITEM,medium,app,2026-06-27T00:00:00,2026-06-27T17:00:00,auto_resolved,fraud
b5a20ac0-42b9-4735-b4ad-f2a3c394b991,b6e99561fe6f34a55b0b7da92f8ed775,5dfcf363-ae22-4bf8-938b-93bdd53180d6,FRAUD_REVIEW,high,email,2026-06-13T00:00:00,2026-06-14T06:00:00,escalated_to_human,fraud
bf578dfd-b4e7-478b-9796-55e504794420,b6e99561fe6f34a55b0b7da92f8ed775,059a0706-ff35-49af-8665-5a5033a24622,REFUND,low,email,2026-07-04T00:00:00,2026-07-04T06:00:00,refund_issued,fraud
425c1559-82a1-4c65-96df-ce6a4d49b00f,b6e99561fe6f34a55b0b7da92f8ed775,fb53a6c5-6abc-441d-8d2b-a8678d083e19,ORDER_STATUS,low,chat,2026-07-14T00:00:00,2026-07-16T07:00:00,auto_resolved,fraud
6a607a49-6298-4307-9316-fb9eaef35088,e607ede0e63436308660236f5a52da5e,3dc1d8ff-d58e-4284-90db-408035d65915,DAMAGED_ITEM,low,app,2026-06-09T00:00:00,2026-06-10T14:00:00,refund_issued,fraud
2bdbc31c-571b-411e-ac3a-3a05a179d3b0,e607ede0e63436308660236f5a52da5e,c69de4da-b6ae-45b5-b587-20467b70c733,PAYMENT_ISSUE,high,email,2026-06-04T00:00:00,2026-06-06T22:00:00,auto_resolved,fraud
d5e20875-3161-40e9-9e0c-f78aa93c050d,e607ede0e63436308660236f5a52da5e,bddb388e-6198-4007-8843-cd4a58c817a6,REFUND,medium,app,2026-06-30T00:00:00,2026-06-30T03:00:00,info_provided,fraud
bc17d4ae-a2cf-48dd-a264-0e733e0e920c,e607ede0e63436308660236f5a52da5e,076868a5-ce94-4a67-984f-5ac5c73b20e8,REFUND,low,email,2026-07-22T00:00:00,2026-07-22T07:00:00,auto_resolved,fraud
3b47fe6e-9ba2-4d14-9dc9-3a4516bdb06d,a96d5cfa0d3181817e2b946f921ea021,371e87c7-0200-498b-866c-438d2c7b9d4b,REFUND,high,chat,2026-06-16T00:00:00,2026-06-18T02:00:00,info_provided,existing
bc21b4b9-a167-429f-a370-7361cf489864,ef07ba9aa5226f77264ffa5762b2280b,94431303-4b03-400a-ab09-6776265fd6c7,SHIPPING_DELAY,low,app,2026-06-23T00:00:00,2026-06-23T05:00:00,escalated_to_human,fraud
9c220ce0-94d6-4685-980d-4fc72f1edd1d,ef07ba9aa5226f77264ffa5762b2280b,82a182f2-af47-4201-97df-7c19d784fd16,SHIPPING_DELAY,low,chat,2026-06-19T00:00:00,2026-06-21T04:00:00,auto_resolved,fraud
b8fc343c-989f-4d2b-916d-fddaf0076810,ef07ba9aa5226f77264ffa5762b2280b,5c9d956d-cc61-4297-8e7f-b391e30e72be,CANCELLATION,high,email,2026-07-17T00:00:00,2026-07-19T21:00:00,auto_resolved,fraud
5aacb182-fd7e-4d5c-bf34-c9f513c43131,86085586aaa8c5f47ed0b400da64c59d,75f770a1-1ea1-4a7e-aae9-7cdb9a1e53d3,REFUND,low,app,2026-07-05T00:00:00,2026-07-07T05:00:00,refund_issued,existing
