order_id,customer_id,order_date,status,total_amount
956f91e9-4784-4c40-b1bd-88a5ea399628,70a8db6a5ae17c3a4e5df68bbeae451c,2026-07-05T00:00:00,delivered,480.46
f51458f1-9484-445d-aedf-386ce137fcc4,9f735d60e4d6d3ec348d7bbdb550eb43,2026-07-16T00:00:00,delivered,398.37
3ebef2fd-013c-480b-a35d-5fe1311ad313,5a3ee05d197e24b7bafaac3e2cbc7e55,2026-07-17T00:00:00,shipped,310.91
1e08b93a-034e-43c3-b317-a064b6345118,317a5bc8cf58c4401e221c74d7a51982,2026-06-23T00:00:00,shipped,126.68
adc8739d-fa5d-4866-a60a-b02436f9ee3b,6056d31a9cf9cf98ea9de7ef86cf4f5d,2026-07-14T00:00:00,returned,58.84
a3ae8ea6-9287-4d73-a014-aff8e60c145d,fb1756887ae59c1b0efe8d0544d94815,2026-06-28T00:00:00,delivered,235.09
0e933b64-aca7-4e77-9e81-d5d38910bea9,4cbdc0f2029c78a012c400623a82e55f,2026-06-22T00:00:00,delivered,45.19
37d7a1e1-4b7e-46e6-8e0a-11065c746784,84f30d2fd3937449dc7e0c835c281961,2025-04-06T00:00:00,returned,177.23
47fcf45c-a4ea-4899-9ef7-1b59c0716ffe,96b1c916f245f2462efcde3fce04bc3e,2026-06-08T00:00:00,delivered,234.66
69750316-bcf7-4bbc-b1c9-9ce163a75518,c3d1d99aa10c2e90ceb77c2197e1ae16,2026-06-13T00:00:00,delivered,285.07
5ff1940e-c98c-4a54-8b87-ca2f4a1ec5cb,6056d31a9cf9cf98ea9de7ef86cf4f5d,2026-07-17T00:00:00,delivered,567.79
efc2d16a-15bc-49a6-8033-4dbcfd199cca,8de2a640697fdc751bf88a16ae07591d,2026-07-07T00:00:00,delivered,623.15
7b69e407-67a3-4e31-b5ac-6ae4aa4905ec,9e4cec36a7f9294540b39950eade4190,2026-06-29T00:00:00,shipped,396.34
c11c749e-c0d1-461f-a4da-21450e3aea3a,6832ad9ac97f82c7c5d614fb8e632e7b,2026-07-04T00:00:00,delayed,135.31
41c42586-0350-49e2-8f08-903eb40f997f,5400394e71d0e31eff5a35aa40fb26ac,2026-07-14T00:00:00,delivered,797.68
3a696a2b-5ec2-42b1-9e4d-35ed449bab3e,fb5ad6c23182ac9a66db83611b62b18d,2026-06-12T00:00:00,delivered,475.35
