product_id,name,category,price,rating,in_stock,image_url
3ac47514-472e-4adb-ad7d-855b404874c2,Cloned high-level database,Apparel,443.68,4.3,True,
9991aa8e-87d4-40af-bcd6-54c440a6190b,Inverse well-modulated encoding,Home & Kitchen,34.94,4.9,True,
ab1eff0c-30bf-4efe-b3c9-64156c56baf0,Grass-roots incremental installation,Apparel,284.69,4.1,True,
e8841101-1360-4adb-88f8-86055a8d96f8,Assimilated local Graphic Interface,Home & Kitchen,424.18,4.5,True,
95d382ae-b362-4675-976e-0cb9a692e172,Multi-tiered object-oriented portal,Home & Kitchen,315.77,4.1,True,
efbc76f3-d170-4439-ad58-faca0027c33f,Right-sized eco-centric forecast,Apparel,341.45,4.2,True,
f5e4da98-25b9-45a1-910e-ac26b1c0c519,Reduced tertiary flexibility,Home & Kitchen,387.03,3.7,True,
d61b14b3-adc2-41d3-bb9c-55d0b6a48ce0,Open-architected intermediate intranet,Electronics,256.57,5.0,True,
58885567-ec45-46e6-8ac6-6d0792028ee7,Digitized transitional application,Apparel,179.68,3.9,True,
54a2f3f2-6581-448c-a674-79dcc839e31a,Cross-platform analyzing neural-net,Electronics,415.62,4.8,True,
44570142-88d8-4b15-9d26-642416e7ab5b,Devolved encompassing project,Toys,374.6,3.6,True,
708318df-34c0-473e-aa7e-40409e32bf7c,Up-sized 3rdgeneration workforce,Sports,274.49,4.8,True,
cb3a5250-6ea7-4016-8f7c-63660df0a000,Devolved tertiary throughput,Books,267.71,4.5,True,
257c226c-5da6-4fa8-be60-08a7f5d181e2,Quality-focused background solution,Apparel,392.31,4.0,True,
66e10e2f-ee4e-482f-9a20-02838990c2b5,Profit-focused coherent challenge,Electronics,101.62,3.8,True,
e5af56af-2702-4060-b7cc-8f835a99cf05,Streamlined directional migration,Toys,449.81,4.2,True,
ac836176-f7b1-4a2f-9e27-98bfd8218aa9,Organized radical throughput,Sports,319.07,4.1,True,
786ba8fd-0d19-42ee-89dc-08082efa43a0,Horizontal 24hour collaboration,Home & Kitchen,350.78,4.1,True,
142c1b09-3cbc-4d8a-97b3-8b4906993424,Object-based client-server alliance,Home & Kitchen,144.32,4.0,True,
