payment_id,order_id,method,amount,status,billing_country
9f1d3d01-1902-4e4f-be20-46d98848070b,956f91e9-4784-4c40-b1bd-88a5ea399628,paypal,480.46,completed,DE
39c57bd6-5109-4afe-a14c-582e8ce92e74,f51458f1-9484-445d-aedf-386ce137fcc4,credit_card,398.37,completed,DE
80fea429-4368-4f6c-af4a-88139a82e4d9,3ebef2fd-013c-480b-a35d-5fe1311ad313,paypal,310.91,completed,IN
b22b1540-2f9f-4985-b0de-9837c70294d1,1e08b93a-034e-43c3-b317-a064b6345118,credit_card,126.68,completed,GB
cef5836a-ac07-4d92-9bbf-92f48e5e1666,adc8739d-fa5d-4866-a60a-b02436f9ee3b,paypal,58.84,completed,US
d2df0178-8a07-4db4-92f9-5e43bdb86a99,a3ae8ea6-9287-4d73-a014-aff8e60c145d,credit_card,235.09,completed,GB
ae7ee4b8-61d8-48c9-8b0e-0c9dfec7fa8b,0e933b64-aca7-4e77-9e81-d5d38910bea9,debit_card,45.19,completed,NG
aa0283ac-411d-4b50-897d-c1a229b4c9da,37d7a1e1-4b7e-46e6-8e0a-11065c746784,credit_card,177.23,completed,IN
da65f824-484d-4051-8c14-e26e03453ad9,47fcf45c-a4ea-4899-9ef7-1b59c0716ffe,wallet,234.66,completed,BR
37b93db1-9885-41ed-a922-7820c609b941,69750316-bcf7-4bbc-b1c9-9ce163a75518,wallet,285.07,completed,US
a5876f5c-a5b9-4a7f-b562-6b43985cd731,5ff1940e-c98c-4a54-8b87-ca2f4a1ec5cb,debit_card,567.79,completed,NG
b0e194fc-e46e-455f-91df-9ac2a2be9ae5,efc2d16a-15bc-49a6-8033-4dbcfd199cca,debit_card,623.15,completed,GB
e7b67cb7-62de-451a-842e-b13cc78cbabc,7b69e407-67a3-4e31-b5ac-6ae4aa4905ec,credit_card,396.34,completed,GB
f9df4d77-eae6-4675-b2d9-49edafe3d743,c11c749e-c0d1-461f-a4da-21450e3aea3a,paypal,135.31,completed,IN
0a07bd97-c829-4168-9b3f-58ef51322c36,41c42586-0350-49e2-8f08-903eb40f997f,wallet,797.68,completed,US
2f7bede7-8bf7-4865-99e6-3731ccc7f2b1,3a696a2b-5ec2-42b1-9e4d-35ed449bab3e,credit_card,475.35,completed,NG
019b61d5-ec34-49fb-aad3-7aa97c85626f,995e5d26-60fa-44ea-a788-d02fbc6c9d0c,credit_card,581.61,completed,IN
6d31c5ba-e7fd-49b1-8f63-114038b63a9a,8d9a5c5a-ae3f-4ead-8f25-5f6b78fb1d44,paypal,2418.78,completed,DE
65c7fe24-a315-476b-be9c-9236fd4a7cf1,e05bab46-416b-4206-ac3f-2ab872b6db51,paypal,416.86,failed,US
e50cdca1-c0c0-4dbe-bea5-19cdaa65bc4e,9b6ca048-942f-4351-96b8-83f1553663cc,debit_card,861.94,completed,DE
ceeeba12-3ad9-46cb-9470-677c6e03e162,ca5eb88b-e638-4c49-b0b7-998d9da525d5,credit_card,337.94,failed,IN
1e8f32e2-c05b-45b1-b709-5e13d765306a,d665cb0b-511c-45b8-b7b9-d552923207c9,wallet,87.26,completed,BR
e1b075d1-8451-4088-bc7d-973ebf7f4a0f,73dfa818-f09c-4774-a28c-088142b39c76,debit_card,452.51,completed,NG
ec24225d-3f01-49fb-8d18-5160bad8f371,2628da3e-3b7f-4453-91ba-4f04a537443d,wallet,426.6,completed,NG
46a5e4ef-1359-402b-bd44-2fd55d36e3a6,a70c3ca6-8dea-41d2-bb06-5b138d9ef6a3,credit_card,525.98,completed,NG
c85c302c-193d-49e4-8113-1ad410a25855,7e09d3d8-25da-4f50-9818-814ebcb077c7,wallet,145.01,completed,BR
3d1a1c32-51c9-4655-89b8-96447d5db970,d43c974d-19b3-41c6-9124-0b64a0eebc6d,wallet,1234.52,completed,BR
82597678-14ff-483a-a574-a4b144db3d6e,f9476528-a882-4195-8b4c-a6e650ce753d,paypal,180.52,completed,GB
dbea2772-3313-4979-870b-331d5e2b26a1,2082d839-e8cf-484c-a65f-b11672fab6a6,debit_card,562.12,completed,NG
23911d69-0856-4517-9494-0cdb7499294d,0ad19805-1ebd-4534-8675-9050e6a9e852,credit_card,1350.35,completed,IN
93fb0579-cdb7-4628-85e9-cabeb6f3cd67,04e73d09-c68f-4a24-99c5-f7b9fe57a4f5,paypal,890.02,completed,US
0c874abc-541c-4074-8ec1-2a41d7de2175,2128f3e4-910c-4783-b34f-78ba4a114417,paypal,393.04,completed,IN
b2586c52-6242-4cb1-829e-6775bd5234e3,1c3df772-41d0-43d1-be38-b6228ca8bb9c,wallet,554.9,completed,BR
600dc45f-76b4-4f25-87b9-4e65beafadde,d64ed313-84f6-4f71-9a27-cf03519e3e89,paypal,1153.4,completed,BR
f5c0c87e-1456-4a4a-9fa2-06d5cdcd4002,048bb07d-8868-4e4d-9a30-4c52b8ac0602,credit_card,1520.34,completed,BR
8807d38e-ba41-4635-b3d3-5263d9ec0291,e07d0be2-0836-4964-b104-a24895a19533,debit_card,167.47,completed,US
d412a633-a1ca-4279-a6de-c766a7404030,1a418276-cf83-42ac-a1fc-7a7f53311ac0,paypal,43.46,completed,GB
a64e5350-3df4-4d40-b95b-2b2686fb3a76,7850a9d5-bb1c-4ee9-8407-b70460c00cbb,paypal,433.05,completed,IN
4fd972fc-9b90-43ab-a004-28da0b23d301,404b0955-3618-4aa9-b168-c2b4160dccb8,credit_card,458.72,completed,DE
c08a1b38-c118-4f0b-abc5-49309839f783,aa2f8dad-1dbf-49d6-b097-9b2cd0b125ab,wallet,174.43,completed,IN
28df6d46-6d87-4646-8511-ba422bebaf19,281335d1-c567-4bc1-874d-c3d9ac9daac7,wallet,1335.92,completed,DE
