customer_id,fraud_score,flag_reason,flagged_at
5a3ee05d197e24b7bafaac3e2cbc7e55,1.0,order_velocity_post_signup,2026-07-17T00:00:00
317a5bc8cf58c4401e221c74d7a51982,0.946,refund_abuse_pattern,2026-07-17T00:00:00
6056d31a9cf9cf98ea9de7ef86cf4f5d,1.0,order_velocity_post_signup,2026-07-17T00:00:00
fb1756887ae59c1b0efe8d0544d94815,0.722,refund_abuse_pattern,2026-07-17T00:00:00
4cbdc0f2029c78a012c400623a82e55f,0.91,order_velocity_post_signup,2026-07-17T00:00:00
8de2a640697fdc751bf88a16ae07591d,0.954,order_velocity_post_signup,2026-07-17T00:00:00
6e9c6c2120611104445c767b78377d21,1.0,order_velocity_post_signup,2026-07-17T00:00:00
0b48151c4ac827afeee06ce2d77cc343,1.0,order_velocity_post_signup,2026-07-17T00:00:00
95b4b60a728bff942c8bd59a43effa33,0.605,refund_abuse_pattern,2026-07-17T00:00:00
7c64114d404c93f2c4305a9f2e7dc3eb,0.729,refund_abuse_pattern,2026-07-17T00:00:00
b134d1fbe77d00a8e0a4ce9d855ea927,0.762,refund_abuse_pattern,2026-07-17T00:00:00
84032c13e75382a35c99ae73156b30b9,0.684,order_velocity_post_signup,2026-07-17T00:00:00
f054e8c1cbcf5e89ddd9b615c349936b,1.0,order_velocity_post_signup,2026-07-17T00:00:00
8c8b21e9534948db376200dd8de97c98,0.605,refund_abuse_pattern,2026-07-17T00:00:00
a012820fbbced38a03331716e231e0ba,1.0,order_velocity_post_signup,2026-07-17T00:00:00
05c567475380140907b9ca53ba1dcfeb,0.656,refund_abuse_pattern,2026-07-17T00:00:00
8dfb24fac32ec7170821d2be63fa9c1c,0.643,refund_abuse_pattern,2026-07-17T00:00:00
7e8ace5e83e019d284a1cf0108b57f94,0.676,order_velocity_post_signup,2026-07-17T00:00:00
11cd4821f3f646fae625b1f043fb5ec3,0.643,refund_abuse_pattern,2026-07-17T00:00:00
e94f497b64b4c843216126feedb1dfae,1.0,order_velocity_post_signup,2026-07-17T00:00:00
00e984e99fdfd52943156d2d7eb4a5e6,1.0,order_velocity_post_signup,2026-07-17T00:00:00
caf8cfa0ac3ff60facda076545837647,1.0,order_velocity_post_signup,2026-07-17T00:00:00
c1a83a518dec21a938b5ca2a66e47ef0,0.735,refund_abuse_pattern,2026-07-17T00:00:00
f52a8a57228f8fc586dc65983d39904b,0.701,refund_abuse_pattern,2026-07-17T00:00:00
38e31fda99a5fb901d27134d18d36c75,1.0,order_velocity_post_signup,2026-07-17T00:00:00
fdcf4139f50f370c91e8b8f33adde2a6,0.887,order_velocity_post_signup,2026-07-17T00:00:00
717aa48025662fcf27ddebbecc5f782b,0.577,refund_abuse_pattern,2026-07-17T00:00:00
fc25f71bab94146446884fc523121d48,1.0,order_velocity_post_signup,2026-07-17T00:00:00
75911973553414cf548f0d62eb2f0fbc,0.564,refund_abuse_pattern,2026-07-17T00:00:00
684fda5905aa430123c7b293106a337b,0.707,refund_abuse_pattern,2026-07-17T00:00:00
ce590a0c44295fc160eca2f1791f37e9,0.615,refund_abuse_pattern,2026-07-17T00:00:00
ceb8b329e744b3e8982e6f9d51269ed3,0.63,refund_abuse_pattern,2026-07-17T00:00:00
0228e299d1cabeaf9be64b5ccd784c97,0.625,refund_abuse_pattern,2026-07-17T00:00:00
f14a94df58861cb1811f48b40271884e,0.981,refund_abuse_pattern,2026-07-17T00:00:00
8c2e1b595fa98d5f22cb089e0e70d9cc,0.795,refund_abuse_pattern,2026-07-17T00:00:00
701ada356e78d72bfd5b279280762b79,0.696,refund_abuse_pattern,2026-07-17T00:00:00
d3b1ea21e85de5679eb875b8a3a9dd4c,0.752,refund_abuse_pattern,2026-07-17T00:00:00
5faabfe6772088c4d906b63fa81ac63d,0.72,refund_abuse_pattern,2026-07-17T00:00:00
c4854939d499d4786a9273c855fa6b77,0.552,refund_abuse_pattern,2026-07-17T00:00:00
4b0cbf5ea22869c5ea269442f9b849e7,1.0,order_velocity_post_signup,2026-07-17T00:00:00
c645339c7f927e64c0cbe6079255fc7a,0.867,refund_abuse_pattern,2026-07-17T00:00:00
cb296f03ccd21cfcb3ba0778c4f3b7d9,1.0,refund_abuse_pattern,2026-07-17T00:00:00
99e36749c5c84dc56b13138caac13b55,0.725,order_velocity_post_signup,2026-07-17T00:00:00
f5de43d4ead76e9519babb3d6189ea5b,0.86,refund_abuse_pattern,2026-07-17T00:00:00
f7c7677be77763b1b2cf982a5e67fa61,1.0,refund_abuse_pattern,2026-07-17T00:00:00
804eb66464db178ab95f5f4ced1f4a9a,0.782,refund_abuse_pattern,2026-07-17T00:00:00
755bdc2822a8f01cfcec19ae4dcaae66,0.702,refund_abuse_pattern,2026-07-17T00:00:00
baa2381220d03aa74d97baf23302ddc9,0.583,refund_abuse_pattern,2026-07-17T00:00:00
97dc91f9e896442f6ac9650bb2a9b594,1.0,refund_abuse_pattern,2026-07-17T00:00:00
f0fe4ee68e4a03068e981e6481bb9e1e,0.737,refund_abuse_pattern,2026-07-17T00:00:00
9bb17125558a326bc9db37d5ba89cbff,0.567,refund_abuse_pattern,2026-07-17T00:00:00
e3113c1f62d89d94df4fc7cb38159411,0.623,refund_abuse_pattern,2026-07-17T00:00:00
8e990907b56d2383d3a39bf0cf9a3f42,0.854,refund_abuse_pattern,2026-07-17T00:00:00
75ecead8782ef6730e1f7e51f7052f75,0.57,refund_abuse_pattern,2026-07-17T00:00:00
e44a59cd3178714eaf095face6112af5,0.574,refund_abuse_pattern,2026-07-17T00:00:00
afa1462306ce1941adc5524ab4198909,0.615,refund_abuse_pattern,2026-07-17T00:00:00
f153272ca75661659630de82f3f2084d,0.837,refund_abuse_pattern,2026-07-17T00:00:00
3341514b8049f4a268e4188fb0211d34,0.788,refund_abuse_pattern,2026-07-17T00:00:00
546ed56ed469aa89580be8bb1b51a6fc,0.552,refund_abuse_pattern,2026-07-17T00:00:00
e021e698833bdeb89dfef3acb2e91f37,1.0,order_velocity_post_signup,2026-07-17T00:00:00
62049cfbc68cd893920204de3b5c057d,1.0,refund_abuse_pattern,2026-07-17T00:00:00
c756c5a0183a0e0c511a8b00fa1e2ee2,0.705,refund_abuse_pattern,2026-07-17T00:00:00
c8dbfbb4a47a215d79659c927e786a58,0.871,order_velocity_post_signup,2026-07-17T00:00:00
91275e7b1847f102954b73d856b4eee8,0.611,refund_abuse_pattern,2026-07-17T00:00:00
84b0bf771f3b14f21e6dd37e2fe2eee6,0.673,refund_abuse_pattern,2026-07-17T00:00:00
cc31282a9d20caa9b70e578d1d5a7062,0.839,refund_abuse_pattern,2026-07-17T00:00:00
e6925d3e39cebd0f699008b248e58361,0.822,refund_abuse_pattern,2026-07-17T00:00:00
d89e05e2d23c3d8247aeecd07758004b,0.879,refund_abuse_pattern,2026-07-17T00:00:00
03f923dbcd3b3c763b22b24db6072d27,0.88,refund_abuse_pattern,2026-07-17T00:00:00
f1d32fc4daad97978a28051b160ca25e,0.552,refund_abuse_pattern,2026-07-17T00:00:00
340152332a04149987a705602615f0d0,0.813,refund_abuse_pattern,2026-07-17T00:00:00
796af4fac93296428070925a8a78aaa1,0.841,order_velocity_post_signup,2026-07-17T00:00:00
208f290481193105f0bdc2d8f543904e,0.785,refund_abuse_pattern,2026-07-17T00:00:00
0062adafa3846d9f372d8f1bde591b24,0.578,refund_abuse_pattern,2026-07-17T00:00:00
a696ba5db33cf4835a04dd5965a86781,0.846,refund_abuse_pattern,2026-07-17T00:00:00
d7dcb6a86716cae0bae52007bd8b7822,0.854,refund_abuse_pattern,2026-07-17T00:00:00
2ad3e8ebee7119e3be506709cf52c2e7,0.598,refund_abuse_pattern,2026-07-17T00:00:00
1145616de76e14f4e7fd5452c2be149c,0.88,refund_abuse_pattern,2026-07-17T00:00:00
4c93744516667ad3b8f1fb645a3116a4,0.762,order_velocity_post_signup,2026-07-17T00:00:00
